,BLEU,ROUGE-L,BERTScore-F1,Toxicity
BART,0.15208073952104723,0.19474815369571266,0.8725885344209674,0.01756006889732132
LLaMA_few_shot,0.13815268259062513,0.16851015825073173,0.8681311574659537,0.11812332475075021
DialoGPT,0.1051710024765291,0.12652025236765513,0.8543522141068843,0.05226051217496056
LLaMA_zero_shot,0.1353706799272719,0.16297401684018614,0.8661336009047401,0.014190480282695702
